,index,,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,1264,1,0.02,0.4,0.11,0.85,0.19,0.1,0.26,0.37,0.2,0.51,0.03,1.0,0.9,0.58,0.31,0.87,0.52,0.08,0.49,1.0,1.0,1.0,0.55,0.0,0.68,0.73,0.78,0.0,0.05,0.16,0.16,0.88,0.14,0.56,0.25,0.55,0.14,0.86,0.23,0.41,0.26,0.25,0.42,0.86,0.88,0.88,0.7,0.26,0.23,0.0,0.08,0.02,0.59,0.54,0.56,0.53,0.56,0.44,0.42,0.36,0.77,0.16,0.18,0.18,0.42,0.51,0.26,0.68,0.05,0.34,0.5,0.01,0.87,0.62,0.17,0.24,0.15,0.04,0.2,0.74,0.89,1.0,0.73,0.8,0.97,0.79,0.34,0.41,0.53,0.0,0.0,0.4,0.42,0.67,0.55,0.48,0.17024884976028978,0.08772182971656367,0.9811428102954535,0.2746607535660692,0.023428919626799556,0.11714706661982709,0.5073293339323817,0.09255487995155913,0.8005949660271424,0.6498790703293797,0.3805991175932039,0.23606566565084444,0.14468988114657907,0.23943241393267886,0.025865235221526565,0.4218603272461928,0.4604261162743192,0.02,0.27,0.87,0.33658839953179914,0.15880931372253215,0.7693836348190974,0.14966238523396988,0.0,0.16178847163823626,0.04
1,657,1,0.03,0.51,0.01,0.75,0.92,0.06,0.33,0.27,0.2,0.43,0.04,1.0,1.0,0.67,0.4,0.94,0.4,0.07,0.51,1.0,1.0,1.0,0.62,0.17,0.76,0.92,1.0,0.0,0.02,0.05,0.05,0.96,0.12,0.52,0.74,0.51,0.05,1.0,0.22,0.29,0.23,0.23,0.42,0.93,0.94,0.93,0.9,0.41,0.25,0.0,0.01,0.03,0.3,0.32,0.35,0.36,0.33,0.31,0.31,0.3,0.68,0.12,0.15,0.17,0.55,0.54,0.36,0.92,0.06,0.1,1.0,0.01,0.93,0.91,0.09,0.5,0.52,0.01,0.04,1.0,1.0,1.0,0.67,1.0,1.0,1.0,0.44,0.59,0.07,0.0,0.0,0.47,0.39,0.71,0.81,0.77,0.11333877802207958,0.15764924945376857,0.9782113978464534,0.25472683758144105,0.22538294064357164,0.37761057527609065,0.4636881662854275,0.3513951353751471,0.8121706956693628,0.6621633803073579,0.10810018748317898,0.23945357008113216,0.3167000380951417,0.46080500119543666,0.1939433652806854,0.45636314904975006,0.3382185153471804,0.03,0.2,0.05,0.019299976992040186,0.08649104109841538,0.6820172779981054,0.5476638456873641,0.0,0.04134920583631627,0.07
2,1404,1,0.01,0.55,0.33,0.59,0.02,0.27,0.53,0.54,0.38,0.44,0.0,0.0,0.21,0.47,0.6,0.32,0.52,0.32,0.34,0.25,0.19,0.24,0.14,0.19,0.2,0.2,0.24,0.03,0.49,0.41,0.51,0.25,0.47,0.44,0.51,0.38,0.57,0.31,0.46,0.36,0.48,0.49,0.58,0.59,0.53,0.59,0.54,0.55,0.62,0.02,0.43,0.0,0.39,0.43,0.44,0.6,0.07,0.07,0.06,0.08,0.81,0.11,0.41,0.39,0.54,0.49,0.62,0.47,0.31,0.53,0.5,0.03,0.61,0.51,0.27,0.48,0.5,0.67,0.08,0.1,0.11,0.12,0.21,0.26,0.27,0.28,0.5,0.42,0.6,0.0,0.0,0.07,0.81,0.49,0.62,0.79,0.12731092465909108,0.2465908712923085,0.937020888313984,0.09584836377145942,0.2076405515421623,0.19467874672366578,0.48141198511886646,0.15609836655110787,0.861272434181538,0.8731333392450049,0.24468419191490218,0.07443590292450136,0.26488075741830197,0.3155804423487668,0.003492324093373347,0.48209039004703147,0.22004545738012,0.09,0.05,0.01,0.24512727368406048,0.1084145512081857,0.5408143079684764,0.393228637260047,0.0,0.33105680991188524,0.27
3,529,1,0.0,0.37,0.01,0.99,0.02,0.02,0.3,0.4,0.23,0.58,0.02,0.87,0.33,0.52,0.29,0.49,0.61,0.28,0.53,0.35,0.35,0.33,0.31,0.25,0.38,0.41,0.32,0.01,0.18,0.49,0.53,0.23,0.3,0.55,0.64,0.35,0.52,0.32,0.41,0.36,0.38,0.41,0.42,0.71,0.73,0.71,0.71,0.74,0.82,0.0,0.11,0.01,0.01,0.18,0.22,0.2,0.01,0.11,0.13,0.1,0.71,0.23,0.15,0.14,0.38,0.49,0.26,0.56,0.05,0.52,0.5,0.01,0.77,0.5,0.03,0.65,0.21,0.15,0.66,0.34,0.34,0.33,0.31,0.35,0.39,0.37,0.51,0.61,0.47,0.0,0.0,0.3,0.55,0.65,0.67,0.72,0.14117385817933203,0.18372687232929724,0.9585531939594816,0.253049594516424,0.18093772340627992,0.24783067750257493,0.3210193507073612,0.0906902579079487,0.5958648203730077,0.8751094415431184,0.45618234912197453,0.039757256410720046,0.28508987753158105,0.04396180068787214,0.19048827000747395,0.4576492235179076,0.11350702169806307,0.02,0.15,0.11,0.14319346584276593,0.13937457816365298,0.6829348948104759,0.3931705564428803,0.0,0.2595319066010081,0.0
4,1719,1,0.01,0.39,0.24,0.8,0.02,0.01,0.41,0.45,0.3,0.49,0.0,0.0,0.25,0.51,0.08,0.35,0.56,0.33,0.44,0.28,0.27,0.29,0.21,0.11,0.25,0.31,0.34,0.01,0.27,0.58,0.63,0.25,0.31,0.53,0.7,0.29,0.64,0.36,0.48,0.3,0.47,0.5,0.4,0.61,0.58,0.54,0.71,0.71,0.73,0.01,0.35,0.0,0.78,0.7,0.62,0.53,0.07,0.06,0.05,0.04,0.96,0.01,0.14,0.15,0.41,0.41,0.41,0.64,0.13,0.44,0.5,0.02,0.75,0.64,0.09,0.55,0.6,0.5,0.11,0.09,0.1,0.12,0.1,0.15,0.16,0.18,0.24,0.22,0.33,0.0,0.0,0.03,0.78,0.65,0.67,0.74,0.17481176558214015,0.0582163011788864,0.8580528034322925,0.12060740100131428,0.04224655741948181,0.30704402055630975,0.19906135389938714,0.16537538749085334,0.5400308267175382,0.7636370631135889,0.30196442592531325,0.2645366633130819,0.2936224436491955,0.2910811706578138,0.08811803443954563,0.47616300380124765,0.5202799282588411,0.03,0.13,0.0,0.08388235346826506,0.1244401768399079,0.7553186904672667,0.18629797920020283,0.0,0.1437015999419325,0.23
5,40,1,0.01,0.46,0.01,0.98,0.03,0.04,0.31,0.38,0.2,0.59,0.0,0.0,0.37,0.44,0.16,0.47,0.63,0.15,0.74,0.36,0.31,0.3,0.44,0.34,0.29,0.4,0.53,0.0,0.1,0.21,0.44,0.15,0.51,0.35,0.21,0.3,0.35,0.27,0.32,0.26,0.32,0.33,0.44,0.72,0.73,0.86,0.74,0.31,0.32,0.0,0.07,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.01,0.01,0.91,0.06,0.21,0.21,0.49,0.44,0.61,0.78,0.08,0.33,0.5,0.12,0.0,0.8,0.03,0.2,0.75,0.03,0.42,0.27,0.26,0.25,0.63,0.57,0.56,0.64,0.49,0.84,0.88,0.0,0.0,0.1,0.6,0.52,0.56,0.76,0.11674275826618674,0.23067682183875643,1.0376793901008172,0.34437456816580936,0.18707530783120596,0.35239172239064875,0.5051801247880986,0.26439124724549423,0.6270504736047121,0.6184981606462239,0.29976380752148724,0.16243285447319736,0.2868361654067865,0.389546673575749,0.15923605220573359,0.6393814223712707,0.27194498539282064,0.14,0.02,0.1,0.1466714044284628,0.046821046785906345,0.5050072510935146,0.40836334004672376,0.0,0.35977303377943404,0.11
6,581,1,0.0,0.57,0.04,0.88,0.31,0.04,0.25,0.32,0.2,0.65,0.02,1.0,0.72,0.62,0.18,0.82,0.6,0.08,0.68,0.7,0.62,0.62,0.16,0.0,0.43,0.03,0.42,0.0,0.06,0.23,0.27,0.5,0.14,0.45,0.32,0.44,0.17,0.64,0.15,0.45,0.23,0.2,0.47,0.87,0.87,0.88,1.0,0.43,0.43,0.0,0.01,0.01,0.35,0.31,0.32,0.31,0.26,0.2,0.19,0.17,0.78,0.13,0.17,0.18,0.5,0.59,0.15,0.82,0.03,0.33,0.5,0.0,0.97,0.74,0.0,0.62,0.35,0.0,0.1,0.59,0.56,0.52,0.66,0.72,0.85,0.69,0.46,0.52,0.51,0.0,0.0,0.31,0.69,0.77,0.77,0.82,0.030971808925473965,0.22549125494030722,0.8805777878100222,0.259833771335943,0.2384091034442432,0.28150226851183846,0.3127596977352915,0.16588965429415897,0.71286364761808,0.6901025521306541,0.3461731532983109,0.03994310082742626,0.08486258569114342,0.07269331368772411,0.052412689521136036,0.6523030466977298,0.4648706276975164,0.01,0.24,0.35,0.2889853938683406,0.028099898092741618,0.7244918358688379,0.08953240670440822,0.0,0.2956753084351619,0.16
7,1982,1,0.0,0.47,0.02,0.98,0.03,0.01,0.62,0.47,0.49,0.69,0.02,0.96,0.42,0.46,0.28,0.84,0.69,0.06,0.62,0.45,0.57,0.55,0.26,0.0,0.48,0.19,0.3,0.0,0.11,0.19,0.26,0.49,0.12,0.42,0.46,0.57,0.24,0.62,0.19,0.4,0.23,0.22,0.29,0.85,0.84,0.92,0.7,0.87,0.83,0.0,0.03,0.0,0.18,0.13,0.22,0.25,0.03,0.02,0.03,0.03,0.95,0.04,0.05,0.09,0.38,0.35,0.4,0.86,0.04,0.2,0.5,0.0,0.93,0.86,0.07,0.4,0.21,0.02,0.03,0.18,0.18,0.21,0.25,0.28,0.35,0.29,0.21,0.26,0.24,0.0,0.0,0.06,0.77,0.66,0.72,0.71,0.20633094902240093,0.2082759950556318,0.8034325445685597,0.3543061176177333,0.16192371428735194,0.23963370483124238,0.1966744341065298,0.1984442040066352,0.4806896293091935,0.5225947241135044,0.0766254683413924,0.14844419999114694,0.1051340770229544,0.09866216161943489,0.03722725108168009,0.6514614660522804,0.10799150225455106,0.02,0.14,0.04,0.06445898837815436,0.2049434861964941,0.6435455777600685,0.058669249554765254,0.0,0.04185352295760185,0.03
8,1689,1,0.0,0.5,0.2,0.74,0.2,0.17,0.51,0.68,0.49,0.1,0.02,1.0,0.24,0.78,0.38,0.36,0.14,0.22,0.5,0.21,0.24,0.25,0.27,0.39,0.19,0.25,0.34,0.01,0.29,0.12,0.19,0.43,0.24,0.66,0.14,0.64,0.3,0.53,0.41,0.22,0.51,0.48,0.48,0.7,0.68,0.68,0.7,0.42,0.41,0.0,0.17,0.01,0.13,0.2,0.37,0.46,0.06,0.08,0.14,0.16,0.8,0.06,0.2,0.21,0.55,0.56,0.55,0.42,0.22,0.47,0.5,0.03,0.56,0.43,0.04,0.36,0.83,0.43,0.06,0.16,0.18,0.18,0.23,0.23,0.26,0.26,0.38,0.55,0.18,0.0,0.0,0.19,0.28,0.26,0.2,0.0,0.19616439814793288,0.2415356886828681,1.0555331761800342,0.25563987171384134,0.07232770544863883,0.05391295469949447,0.4552390426416481,0.1139710296011353,0.8670063976580127,0.762436694906343,0.25563699773549703,0.3086313080867866,0.17282418845607814,0.2599340860231256,0.047018055040569516,0.6285835170013879,0.15656530064390173,0.03,0.09,0.01,0.18294105772927655,0.15265889709324454,0.5604326496835855,0.5614667805611475,0.0,0.09669963279624169,0.34
